Spelling; nchar; LogFreq_Zipf; DomPoS
councillors; 11; 3.99; noun
tyres; 5; 3.96; noun
rumours; 7; 3.94; noun
armour; 6; 3.89; noun
honoured; 8; 3.89; verb
apologised; 10; 3.89; verb
aeroplane; 9; 3.86; noun
councillor; 10; 3.86; noun
judgement; 9; 3.86; noun
neighbouring; 12; 3.85; noun
organising; 10; 3.85; verb
centimetres; 11; 3.84; noun
tyre; 4; 3.83; noun
organisers; 10; 3.81; noun
realising; 9; 3.81; verb
crikey; 6; 3.81; name
carers; 6; 3.8; noun
litre; 5; 3.8; noun
tonne; 5; 3.8; noun
fulfil; 6; 3.79; verb
defences; 8; 3.78; noun
modelling; 9; 3.77; verb
medallist; 9; 3.76; noun
rumour; 6; 3.75; noun
favours; 7; 3.75; noun
litres; 6; 3.73; noun
criticise; 9; 3.73; verb
realises; 8; 3.72; verb
sceptical; 9; 3.71; adjective
flavoured; 9; 3.7; verb
honours; 7; 3.7; noun
tumour; 6; 3.7; noun
manoeuvre; 9; 3.7; noun
pyjamas; 7; 3.69; noun
savoury; 7; 3.69; noun
fibre; 5; 3.69; noun
analyse; 7; 3.68; verb
aluminium; 9; 3.67; noun
practised; 9; 3.67; verb
anaesthetic; 11; 3.67; adjective
equaliser; 9; 3.66; noun
kilometre; 9; 3.64; noun
maximise; 8; 3.63; verb
saviour; 7; 3.63; noun
recognises; 10; 3.63; verb
recognising; 11; 3.62; verb
specialised; 11; 3.62; verb
colouring; 9; 3.61; verb
cheques; 7; 3.61; noun
annexe; 6; 3.6; noun
counselling; 11; 3.59; noun
civilised; 9; 3.59; adjective
favoured; 8; 3.58; verb
watercolour; 11; 3.56; noun
chillies; 8; 3.56; noun
privatisation; 13; 3.56; noun
labelled; 8; 3.55; verb
endeavour; 9; 3.55; noun
parlour; 7; 3.54; noun
centred; 7; 3.54; verb
emphasise; 9; 3.54; verb
modelled; 8; 3.53; verb
gruelling; 9; 3.53; noun
paralysed; 9; 3.52; verb
centrepiece; 11; 3.52; noun
recognisable; 12; 3.52; adjective
authorised; 10; 3.52; verb
artefacts; 9; 3.52; noun
penalised; 9; 3.52; verb
minimise; 8; 3.51; verb
criticising; 11; 3.51; verb
aeroplanes; 10; 3.49; noun
organiser; 9; 3.48; noun
reorganisation; 14; 3.48; noun
apologising; 11; 3.47; verb
caramelised; 11; 3.46; adjective
cuppa; 5; 3.46; noun
specialises; 11; 3.46; verb
licences; 8; 3.46; noun
stabilise; 9; 3.46; verb
patronising; 11; 3.46; verb
modernisation; 13; 3.45; noun
levelled; 8; 3.44; verb
moulded; 7; 3.44; verb
fibres; 6; 3.43; noun
analysed; 8; 3.43; verb
capitalise; 10; 3.43; verb
realisation; 11; 3.42; noun
lasagne; 7; 3.42; noun
armoured; 8; 3.39; adjective
prioritise; 10; 3.38; verb
favourable; 10; 3.38; adjective
specialise; 10; 3.38; verb
calibre; 7; 3.38; noun
paedophile; 10; 3.37; noun
