Spelling; nchar; LogFreq_Zipf; DomPoS
remould; 7; 1.81; verb
savouriness; 11; 1.81; noun
standardising; 13; 1.81; verb
strategise; 10; 1.81; verb
strategising; 12; 1.81; verb
terrorises; 10; 1.81; verb
theorised; 9; 1.81; verb
trivialised; 11; 1.81; verb
trivialises; 11; 1.81; verb
vulcanised; 10; 1.81; verb
whinges; 7; 1.81; verb
railcard; 8; 1.77; noun
blueing; 7; 1.77; noun
calliper; 8; 1.77; noun
carls; 5; 1.77; name
centilitres; 11; 1.77; noun
energises; 9; 1.77; verb
eulogise; 8; 1.77; verb
gazunder; 8; 1.77; noun
glamorising; 11; 1.77; verb
hypnotises; 10; 1.77; verb
hypothesise; 11; 1.77; verb
ionising; 8; 1.77; verb
miniaturise; 11; 1.77; verb
mislabelled; 11; 1.77; verb
monopolised; 11; 1.77; verb
novocaine; 9; 1.77; name
organisationally; 16; 1.77; adverb
oxidiser; 8; 1.77; noun
philosophise; 12; 1.77; verb
psychoanalyse; 13; 1.77; verb
scandalise; 10; 1.77; verb
scandalising; 12; 1.77; verb
stencilling; 11; 1.77; noun
swivelled; 9; 1.77; verb
swots; 5; 1.77; noun
tranquillised; 13; 1.77; verb
childminding; 12; 1.74; verb
kerbstone; 9; 1.74; noun
payslip; 7; 1.74; noun
atomised; 8; 1.74; verb
chequer; 7; 1.74; noun
clamoured; 9; 1.74; verb
coloniser; 9; 1.74; noun
connexions; 10; 1.74; noun
dehumanisation; 14; 1.74; noun
eulogising; 10; 1.74; verb
familiarisation; 15; 1.74; noun
familiarising; 13; 1.74; verb
finalises; 9; 1.74; verb
haemorrhaged; 12; 1.74; verb
humanises; 9; 1.74; verb
imperilled; 10; 1.74; verb
incentivises; 12; 1.74; verb
manoeuvrings; 12; 1.74; noun
mechanise; 9; 1.74; verb
metier; 6; 1.74; noun
moults; 6; 1.74; verb
pasteurise; 10; 1.74; verb
pencilling; 10; 1.74; verb
prioritisation; 14; 1.74; noun
professionalised; 16; 1.74; verb
prophesise; 10; 1.74; verb
revolutionises; 14; 1.74; verb
savours; 7; 1.74; verb
spectres; 8; 1.74; noun
theorise; 8; 1.74; verb
theorising; 10; 1.74; verb
untameable; 10; 1.74; adjective
vaporisation; 12; 1.74; noun
woollens; 8; 1.74; noun
actualise; 9; 1.7; verb
alphabetise; 11; 1.7; verb
alphabetised; 12; 1.7; verb
annualised; 10; 1.7; adjective
arak; 4; 1.7; name
arsing; 6; 1.7; verb
behaviourally; 13; 1.7; adverb
cannibalising; 13; 1.7; verb
charabancs; 10; 1.7; noun
cheesemonger; 12; 1.7; noun
commercialising; 15; 1.7; verb
decimalised; 11; 1.7; verb
depoliticise; 12; 1.7; verb
deputise; 8; 1.7; verb
destabilises; 12; 1.7; verb
digitising; 10; 1.7; verb
drivelling; 10; 1.7; verb
duellists; 9; 1.7; noun
evillest; 8; 1.7; adjective
facia; 5; 1.7; noun
feminisation; 12; 1.7; noun
garrotted; 9; 1.7; verb
ghettoised; 10; 1.7; verb
idealisation; 12; 1.7; noun
idolising; 9; 1.7; verb
industrialising; 15; 1.7; adjective
infantilised; 12; 1.7; adjective
itemise; 7; 1.7; verb
memorialise; 11; 1.7; verb
neurones; 8; 1.7; noun
optimisation; 12; 1.7; noun
ormer; 5; 1.7; noun
patronisingly; 13; 1.7; adverb
quiffs; 6; 1.7; noun
renationalisation; 17; 1.7; noun
sentimentalised; 15; 1.7; verb
steriliser; 10; 1.7; noun
synaesthesia; 12; 1.7; noun
tantalises; 10; 1.7; verb
tranquilised; 12; 1.7; verb
unfertilised; 12; 1.7; adjective
untrammelled; 12; 1.7; adjective
vaporising; 10; 1.7; verb
vitalise; 8; 1.7; name
yobbish; 7; 1.7; adjective
yodeller; 8; 1.7; noun
centreboard; 11; 1.65; noun
flexitime; 9; 1.65; noun
pisshead; 8; 1.65; noun
watercolourists; 15; 1.65; noun
anglicise; 9; 1.65; verb
autogyro; 8; 1.65; noun
breathalysers; 13; 1.65; noun
callisthenics; 13; 1.65; noun
cannibalise; 11; 1.65; verb
capitalises; 11; 1.65; verb
clamours; 8; 1.65; noun
decarbonise; 11; 1.65; verb
decarbonising; 13; 1.65; verb
demilitarisation; 16; 1.65; noun
digitalisation; 14; 1.65; noun
dioptre; 7; 1.65; noun
dishonourably; 13; 1.65; adverb
doyley; 6; 1.65; name
epicentres; 10; 1.65; noun
equalisers; 10; 1.65; noun
formalising; 11; 1.65; verb
fossilise; 9; 1.65; verb
govt; 4; 1.65; noun
grizzling; 9; 1.65; verb
haematologist; 13; 1.65; noun
idolises; 8; 1.65; verb
ilka; 4; 1.65; unclassified
institutionalisation; 20; 1.65; noun
legitimises; 11; 1.65; verb
localising; 10; 1.65; verb
materialisation; 15; 1.65; noun
mechanising; 11; 1.65; verb
medalling; 9; 1.65; adjective
mitres; 6; 1.65; noun
oxidises; 8; 1.65; verb
parps; 5; 1.65; noun
pedlars; 7; 1.65; noun
photosynthesising; 17; 1.65; verb
pilaff; 6; 1.65; noun
plagiarise; 10; 1.65; verb
revitalisation; 14; 1.65; noun
saveable; 8; 1.65; adjective
securitisation; 14; 1.65; noun
shufti; 6; 1.65; noun
smoulders; 9; 1.65; verb
sodomised; 9; 1.65; verb
specialisations; 15; 1.65; noun
stockist; 8; 1.65; noun
tasselled; 9; 1.65; adjective
tenderised; 10; 1.65; adjective
unnameable; 10; 1.65; adjective
unpractised; 11; 1.65; adjective
unrealised; 10; 1.65; adjective
verbalise; 9; 1.65; verb
visualises; 10; 1.65; verb
winceyette; 10; 1.65; noun
yobbo; 5; 1.65; noun
undercapitalised; 16; 1.6; verb
dehumanise; 10; 1.6; verb
deindustrialisation; 19; 1.6; noun
anodised; 8; 1.6; adjective
appetisers; 10; 1.6; noun
authorisations; 14; 1.6; noun
belabour; 8; 1.6; verb
cagoules; 8; 1.6; noun
catalysed; 9; 1.6; verb
clarinettists; 13; 1.6; noun
colourations; 12; 1.6; noun
conceptualise; 13; 1.6; verb
contextualised; 14; 1.6; verb
corries; 7; 1.6; name
decarbonisation; 15; 1.6; noun
desensitise; 11; 1.6; verb
digitise; 8; 1.6; verb
discolours; 10; 1.6; verb
disembowelling; 14; 1.6; verb
empathises; 10; 1.6; verb
energiser; 9; 1.6; noun
enthrals; 8; 1.6; verb
evangelisation; 14; 1.6; noun
evangelise; 10; 1.6; verb
fantasises; 10; 1.6; verb
fossilisation; 13; 1.6; noun
gazumping; 9; 1.6; verb
globalising; 11; 1.6; verb
haemolytic; 10; 1.6; adjective
idealising; 10; 1.6; verb
internationalisation; 20; 1.6; noun
kerbstones; 10; 1.6; noun
liquidising; 11; 1.6; verb
lobotomised; 11; 1.6; verb
metalled; 8; 1.6; adjective
misjudgements; 13; 1.6; noun
monetising; 10; 1.6; verb
monopolising; 12; 1.6; verb
ormers; 6; 1.6; noun
pasteurising; 12; 1.6; noun
pressurisation; 14; 1.6; noun
pressurises; 11; 1.6; verb
proselytising; 13; 1.6; verb
psychoanalysed; 14; 1.6; verb
realisations; 12; 1.6; noun
regularised; 11; 1.6; verb
reorganises; 11; 1.6; verb
sensationalise; 14; 1.6; verb
sexualising; 11; 1.6; verb
signallers; 10; 1.6; noun
tranquillise; 12; 1.6; verb
uncoloured; 10; 1.6; adjective
agonises; 8; 1.54; verb
alphabetising; 13; 1.54; verb
barque; 6; 1.54; noun
bastardised; 11; 1.54; verb
bleepers; 8; 1.54; noun
burglarised; 11; 1.54; verb
busked; 6; 1.54; verb
catheterise; 11; 1.54; verb
clachan; 7; 1.54; adjective
collateralised; 14; 1.54; adjective
collectivisation; 16; 1.54; noun
customisable; 12; 1.54; adjective
dehumanised; 11; 1.54; verb
demobilisation; 14; 1.54; noun
demonises; 9; 1.54; verb
denationalised; 14; 1.54; verb
deodorising; 11; 1.54; verb
dishonours; 10; 1.54; verb
epitomising; 11; 1.54; verb
eulogised; 9; 1.54; verb
extemporise; 11; 1.54; verb
feminise; 8; 1.54; verb
fictionalising; 14; 1.54; verb
foetid; 6; 1.54; adjective
