Title	Type	Year	Author	Country	Budget	Box	Duration	Producer
The Dead Undead	Film	2010	Matthew R. Anderson/Edward Conna	United States	1100000		90	 Funny How Films/Mirror Mountain Pictures
Outpost: Black Sun	Film	2012	Steve Barker	United Kingdom				
School of the Dead/Liam Hooper's School of the Dead	Film	2012	Liam Hooper	United Kingdom				
Opstandelsen	Film	2010	Casper Haugegaard	Denmark	7445.57		50	 Jawbreaker Productions
Mutant Chronicles	Film	2008	Simon Hunter	United Kingdom	2.5e+07	2131057	111	 Edward R. Pressman Film/First Foot Films/Grosvenor Park Productions
The Defiled	Film	2010	Julian Grant	United States			100	Grant Guignol 
The Zombie Diaries 2	Film	2011	Michael Bartlett/Kevin Gates	United Kingdom	1500000		88	Bleeding Edge Films/Metrodome Distribution/Off World Films
Zombie Undead	Film	2010	Rhys Davies	United Kingdom		17	79	Hive Films
Devil's Playground	Film	2010	Mark McQueen	United Kingdom				
School of the Dead	Film	2010	Sam Horsley	United Kingdom				
The Dead	Film	2010	Howard J. Ford/Jonathan Ford	United Kingdom	4891		105	 Indelible Productions/Latitude Films
Zomblies	Film	2010	David M. Reynolds	United Kingdom				
Nightmare Alley	Film	2010	Laurence Holloway/Scarlet Fry	United Kingdom				
Doghouse	Film	2009	Jake West	United Kingdom				
Tormented	Film	2009	Jon Wright	United Kingdom				
Outpost	Film	2008	Steve Barker	United Kingdom		463377	90	Black Camel Pictures/Regent Capital 
Stag Night of the Dead	Film	2008	Neil Jones	United Kingdom				
The Vanguard	Film	2008	Matthew Hope	United Kingdom			89	Propaganda Pictures
Dead Heist	Film	2007	Bo Webb	United States	250000		80	Swirl Films
The Dead Outside	Film	2008	Kerry Anne Mullaney	United Kingdom			86	Mothcatcher Films
The Living Dead Chronicles	Film	2008	Webby	United Kingdom				
Colin	Film	2008	Marc Price	United Kingdom	58.28		97	
Afternoon of the Rat-Faced Zombies	Film	2007	Vinson Pike	United Kingdom				
The Zombie Diaries	Film	2006	Michael Bartlett/Kevin Gates	United Kingdom	10441.79			Bleeding Edge Films/Off World Films
Doom	Film	2005	Andrzej Bartkowiak	United Kingdom				
Shaun of the Dead	Film	2004	Edgar Wright	United Kingdom	5e+06	30332385	100	
28 Days Later	Film	2002	Danny Boyle	United Kingdom	8e+06	82955633	113	
Deathwatch	Film	2002	Michael J. Bassett	United Kingdom				
Mulva: Zombie Ass Kicker!	Film	2001	Chris Seaver	United Kingdom				
I, Zombie: The Chronicles of Pain (I, Zombie)	Film	1999	Andrew Parkinson	United Kingdom				
Waxwork II: Lost in Time	Film	1992	Anthony Hickox	United Kingdom				
Waxwork	Film	1988	Anthony Hickox	United Kingdom				
Hysterical	Film	1983	Chris Bearde	United Kingdom				
"Heavy Metal, segment ""B-17"""	Film	1981	Gerald Potterton	United Kingdom				
The Cross of the Devil	Film	1975	John Gilling	United Kingdom				
House of the Living Dead/Doctor Maniac	Film	1973	Ray Austin	United Kingdom				
The Legend of the 7 Golden Vampires	Film	1973	Roy Ward Baker	United Kingdom				
The Plague of the Zombies	Film	1966	John Gilling	United Kingdom				
The Earth Dies Screaming	Film	1964	Terence Fisher	United Kingdom				
The Woman Eater	Film	1957	Charles Saunders	United Kingdom				
Blue Green Yellow Death	Film		Anthony Straeger	United Kingdom				
The 4th Reich	Film	2017	Shaun Robert Smith 	United Kingdom	5e+06		97	
The Forest of Hands and Teeth	Film		Kate Marbely	United Kingdom				
28 months later	Film		Alex Garland					
All Roads End Here	Novel	2018	David Moody	United Kingdom				
One of Us Will Be Dead by Morning	Novel	2017	David Moody	United Kingdom				
The Girl with All the Gifts	Novel	2014	M.R. Carey	United Kingdom				
The Hunted	Novel	2014	Charlie Higson	United Kingdom				
The Fallen	Novel	2013	Charlie Higson	United Kingdom				
Autumn: Aftermath	Novel	2012	David Moody	United Kingdom				
Geeks vs. Zombies	Novel	2012	Charlie Higson	United Kingdom				
The End	Novel	2012	Charlie Higson	United Kingdom				
The Sacrifice	Novel	2012	Charlie Higson	United Kingdom				
Zombie Apocalypse! Fightback	Novel	2012	Stephen Jones	United Kingdom				
Zona Zombie	Novel	2012	David Moody	United Kingdom				
Autumn: Disintegration	Novel	2011	David Moody	United Kingdom				
The Fear	Novel	2011	Charlie Higson	United Kingdom				
Them or Us	Novel	2011	David Moody	United Kingdom				
Dog Blood: A Novel	Novel	2010	David Moody	United Kingdom				
The Dead	Novel	2010	Charlie Higson	United Kingdom				
Zombie Apocalypse!	Novel	2010	Stephen Jones	United Kingdom				
Hater	Novel	2009	David Moody	United Kingdom				
The Enemy	Novel	2009	Charlie Higson	United Kingdom				
Autumn: The Human Condition	Novel	2005	David Moody	United Kingdom				
Autumn: Purification	Novel	2003	David Moody	United Kingdom				
Autumn: The City	Novel	2001	David Moody	United Kingdom				
In the Flesh #1	Series	2013	Dominic Mitchell	United Kingdom			60	BBC
In the Flesh #2	Series	2014	Dominic Mitchell	United Kingdom			60	BBC
Dead Set	Series	2008	Charlie Brooke/Yann Demange	United Kingdom			35	Endemol Shine UK
Summer reading: Medicine, psychoanalysis and the zombie apocalypse in comic books.	Academic	2018	Leslie Citrome	United States				
The undead in culture and science	Academic	2018	Connie Nugent/Gilbert Berdine/Kenneth Nugent	United States				
Concerns With Entertainment-Education: Zombie Pandemic Preparedness and the Unanticipated Promotion of a Weapons Culture.	Academic	2017	Frank Houghton/Jeremy Toms/Ghazal Meratnia	United States				
Living With Zombies: Society in Apocalypse in Film, Literature and Other Media (Contributions to Zombie Studies) 	Academic	2017	Chase Pielak/Alexander H. Cohen	United States				
Real life zombie apocalypse in New York City	Academic	2017	Jonathan Mark Brown	United States				
The metaphorical zombie A Review of Zombie Theory: A Reader edited by Sarah Juliet Lauro	Academic	2017	Paul Dougherty	United States				
Zombie issues in ophthalmology	Academic	2017	Nick Mamalis	United States				
Are We the Walking Dead? Burnout as Zombie Apocalypse	Academic	2016	Benjamin R. Doolittle	United States				
David Mechanic: Professional Zombie Hunter	Academic	2016	Frederic W. Hafferty/Jon Tilburt	United States				
How a Wasp Turns Cockroaches into Zombies	Academic	2016	Christie Wilcox	United States				
Zombie Neuroscience	Academic	2016	Christie Wilcox	United States				
Zombie pandemic preparedness: a cautionary observation.	Academic	2016	Frank Houghton/Katie Del Monte/Daniel Glessner/Joyce Goff/Edward Hopkins/Krista Loney/Ghazal Meratnia/Jeremy Toms	United States				
"Pharmacy and the ""Zombie Apocalypse"""	Academic	2015	Danial E. Baker	United States				
The Neuroscience of Zombies	Academic	2015	Neuro Transmissions	United States				
Do Zombies Dream of Undead Sheep?: A Neuroscientific View of the Zombie Brain	Academic	2014	Timothy Verstynen/Bradley Voytek	United States				
Theories of International Politics and Zombies	Academic	2014	Daniel W. Drezner	United States				
Diagnosing a zombie: Brain and body (Part one)	Academic	2012	Timothy Verstynen/Bradley Voytek	United States				
Zombies vs. Cheerleaders	Comic	2015	Richard Toquet	United States				
George Romero's Empire of the Dead: Act One	Comic	2014	George A. Romero	United States				
Revival	Comic	2012	Tim Seeley	United States				
28 Days Later	Comic	2011	Michael Alan Nelson	United States				
Dead World	Comic	2011	Gary Reed/Mike Raicht	United States				
Night of the Living Death: Death Valley	Comic	2011	Mike Wolfer	United States				
Resident Evil	Comic	2011	Ricardo Sanchez	United States				
Star Trek: Infestation	Comic	2011	David Tipton	United States				
iZombie	Comic	2010	Chris Roberson/Laura Allred	United States				
Awakening	Comic	2009	Nick Tapalansky	United States				
Jesus Hates Zombies featuring Lincoln Hates Werewolves	Comic	2009	Stephen Lindsay	United States				
Transformers: Best of UK: City of Fear	Comic	2009	Simon Furman	United States				
Children of the Grave	Comic	2008	Tom Waltz	United States				
Crawl Space	Comic	2008	Rick Remember/Tony Moore	United States				
Dark 48	Comic	2008	Steve O'Connell	United States				
Dead Ahead	Comic	2008	Clark K. Castillo/Mel Smith	United States				
Dead Eyes Oen	Comic	2008	Matthew Shepherd	United States				
Everybody's Dead	Comic	2008	Brian Lynch	United States				
Kolchak Tales: Night Stalker of the Living Dead 	Comic	2008	Christopher Mills	United States				
Living With the Dead	Comic	2008	Mike Richardson/Ben Stenbek	United States				
Marvel Zombies	Comic	2008	Robert Kirkman	United States				
Roadkill Zoo	Comic	2008	Nicole Jones-Dion	United States				
28 Days Later	Comic	2007	Steve Niles	United States				
Night of the Living Dead: Back From The Grave	Comic	2007	John A. Russo/George A. Romero	United States				
Pieces for Mom: A Tale of the Undead	Comic	2007	Steve Niles	United States				
Plgue of the Living Dead	Comic	2007	John A. Russo	United States				
Daybreak	Comic	2006	Brian Ralph	United States				
Escape of the Living Dead	Comic	2006	John A. Russo	United States				
Escape of the Living Dead: Fearbook	Comic	2006	John A. Russo	United States				
Fear the Dead: A Zombie Survivor's Journal	Comic	2006	Nat Jones	United States				
George A. Romero's Land of the Dead	Comic	2006	Chris Ryall/George A. Romero	United States				
Land of the Dead	Comic	2006	Chris Ryall	United States				
Last Blood	Comic	2006	Bobby Crosby/Owen Gieni/Chris Crosby	United States				
Lazarus Chronicles	Comic	2006	Rob Durham	United States				
Dead West	Comic	2005	Rick C. Spears	United States				
Death in the West	Comic	2005	Joe R. Landsdale	United States				
Eric Red's Containment	Comic	2005	Eric Red	United States				
Escape of the Living Dead: Airborne	Comic	2005	John A. Russo	United States				
Grave Grrrls: Destroyers of the Dead	Comic	2005	Scott Licina	United States				
Moonstone Monsters: Zombies	Comic	2005	Fred van Lente/C.J. Henderson/Paul D. Storrie	United States				
Zombie King	Comic	2005	Frank Cho	United States				
George A. Romero's Dawn of the Dead	Comic	2004	Steve Niles	United States	18975000	47751015		
Remains	Comic	2004	Steve Niles	United States				
Cursed	Comic	2003	Fiona Kay Avery	United States				
Johny Dynamite	Comic	2003	Max Allan Collins	United States				
Mortal Souls	Comic	2003	Steven Grant	United States				
The Walking Dead	Comic	2003	Robert Kirkman	United States				
Bogus Dead	Comic	2002	Souther Salazar/James Kochalka/Kevin Huizenga	United States				
Horro of the Collier Country	Comic	2001	Rich Tommaso	United States				
Dead Kid Adventures	Comic	1998	Tom Bierbaum/Mary Bierbaum/Bill Mulligan	United States				
El Muerto: The Aztec Zombie	Comic	1998	Javier Hernandez	United States				
Resident Evil	Comic	1998	Ted Adams	United States				
Homicide: Tears of the Dead	Comic	1997	Hart D. Fisher	United States				
Realm of the Dead	Comic	1993	Gary Reed	United States				
Re-Animator: Dawn of the Re-Animator	Comic	1992	H.P. Lovecraft	United States				
Dead Walkers	Comic	1991	Christopher Weppler/John Grigni	United States				
Evil Ernie	Comic	1991	Brian Pulido/Steven Hughes	United States				
Out There on the Far Side of the Cadillac Desert with Dead Folks	Comic	1991	Joe R. Landsdale	United States				
Tales of the Zombie	Comic	1973	Steve Gerber/Pablo Marcos	United States				
The Zombie	Comic	1953	Stan Lee/Bill Everett	United States				
16-Bit Zombie	Comic	2014	Fred Perry/David Hutchison	United States				Antarctic Press
32-Bit Zombie	Comic	2014	Fred Perry/David Hutchison	United States				Antarctic Press
64-Bit Zombie	Comic	2014	Fred Perry/David Hutchison	United States				Antarctic Press
68	Comic	2006	Mark Kidwell/Nat Jones	United States				Image Comics
'68 Bad Sign	Comic	2015	Mark Kidwell/Richard Bonk/Jay Fotos	United States				Image Comics
'68 Hallowed Ground	Comic	2013	Mark Kidwell/John Charles	United States				Image Comics
68 Homefront #1	Comic	2014	Mark Kidwell/Kyle Charles/Jay Fotos	United States				Image Comics
68 Homefront #2	Comic	2014	Mark Kidwell/Kyle Charles/Jay Fotos	United States				Image Comics
68 Homefront #3	Comic	2014	Mark Kidwell/Kyle Charles/Jay Fotos	United States				Image Comics
68 Hardship	Comic	2011	Mark Kidwell/Jay Fotos/Jeff Zornow	United States				Image Comics
68 Homefront #4	Comic	2014	Mark Kidwell/Kyle Charles/Jay Fotos	United States				Image Comics
68 Jungle Jim #1	Comic	2013	Mark Kidwell/Jeff Zornow	United States				Image Comics
68 Jungle Jim #2	Comic	2013	Mark Kidwell/Jeff Zornow	United States				Image Comics
68 Jungle Jim #3	Comic	2013	Mark Kidwell/Jeff Zornow	United States				Image Comics
68 Jungle Jim #4	Comic	2013	Mark Kidwell/Jeff Zornow	United States				Image Comics
'68 Jungle Jim: Guts 'n Glory	Comic	2015	Mark Kidwell/Jay Fotos	United States				Image Comics
68: Last Rites #1	Comic	2015	Mark Kidwell/Jay Fotos	United States				Image Comics
68: Last Rites #2	Comic	2015	Mark Kidwell/Jay Fotos	United States				Image Comics
68: Last Rites #3	Comic	2015	Mark Kidwell/Jay Fotos	United States				Image Comics
68: Last Rites #4	Comic	2016	Mark Kidwell/Jay Fotos	United States				Image Comics
68: Rule of War #1	Comic	2014	Mark Kidwell/Jeff Zornow	United States				Image Comics
68: Rule of War #2	Comic	2014	Mark Kidwell/Jeff Zornow	United States				Image Comics
68: Rule of War #3	Comic	2014	Mark Kidwell/Jeff Zornow	United States				Image Comics
68: Rule of War #4	Comic	2014	Mark Kidwell/Jeff Zornow	United States				Image Comics
68: Scars #1	Comic	2012	Mark Kidwell/Nat Jones	United States				Image Comics
68: Scars #2	Comic	2012	Mark Kidwell/Nat Jones	United States				Image Comics
68: Scars #3	Comic	2012	Mark Kidwell/Nat Jones	United States				Image Comics
68: Scars #4	Comic	2013	Mark Kidwell/Nat Jones	United States				Image Comics
8-Bit Zombie	Comic	2013	Fred Perry/Zechary Gray/Fred Perry	United States				Antarctic Press
Alpha Girl #1	Comic	2012	Jean-Paul Bonjour/Jeff Roening	United States				Image Comics
Alpha Girl #2	Comic	2012	Jean-Paul Bonjour/Jeff Roening	United States				Image Comics
Alpha Girl #3	Comic	2012	Jean-Paul Bonjour/Jeff Roening	United States				Image Comics
Alpha Girl #4	Comic	2012	Jean-Paul Bonjour/Jeff Roening	United States				Image Comics
Alpha Girl #5	Comic	2012	Jean-Paul Bonjour/Jeff Roening	United States				Image Comics
Army of Darkness	Comic	2006	Sam Raimi/Ivan Raimi/John Bolton	United States				Diamond Comics
Army of Darkness: Ash vs. the Classic Monsters #8	Comic	2014	James Kuhoric/Kevin Sharpe	United States				Dynamite Entertainment
Army of Darkness: Ash vs. the Classic Monsters #9	Comic	2014	James Kuhoric/Kevin Sharpe	United States				Dynamite Entertainment
Army of Darkness: Ash vs. the Classic Monsters #10	Comic	2014	James Kuhoric/Kevin Sharpe	United States				Dynamite Entertainment
Army of Darkness: Ash vs. the Classic Monsters #11	Comic	2014	James Kuhoric/Kevin Sharpe	United States				Dynamite Entertainment
Army of Darkness Election Special	Comic	2016	Eliott R. Serrano/Diego Galindo	United States				Dynamite Entertainment
Army of Darkness vs. Re-Animator #1	Comic	2006	James Kuhoric/Sanford Greene/Nick Bradshaw	United States				Dynamite Entertainment
Army of Darkness vs. Re-Animator #2	Comic	2006	James Kuhoric/Sanford Greene/Nick Bradshaw	United States				Dynamite Entertainment
Army of Darkness vs. Re-Animator #3	Comic	2006	James Kuhoric/Sanford Greene/Nick Bradshaw	United States				Dynamite Entertainment
Army of Darkness vs. Re-Animator #4	Comic	2006	James Kuhoric/Sanford Greene/Nick Bradshaw	United States				Dynamite Entertainment
Army of Darkness/Reanimator	Comic	2013	Mark Rahner/Randy Valiene	United States				Dynamite Entertainment
Army of Darkness: Ashes 2 Ashes #1	Comic	2004	Andy Hartnell/Nick Bradshaw	United States				Dynamite Entertainment
Army of Darkness: Ashes 2 Ashes #2	Comic	2004	Andy Hartnell/Nick Bradshaw	United States				Dynamite Entertainment
Army of Darkness: Ashes 2 Ashes #3	Comic	2004	Andy Hartnell/Nick Bradshaw	United States				Dynamite Entertainment
Army of Darkness: Ashes 2 Ashes #4	Comic	2004	Andy Hartnell/Nick Bradshaw	United States				Dynamite Entertainment
Army of Darkness: Ash's Christmas Horror	Comic	2009	James Kuhoric/Dave Simons	United States				Dynamite Entertainment
Army of Darkness: The Death of Ash #12	Comic	2017	James Kuhoric/Fernando Blanco/Ivan Nunes	United States				Dynamite Entertainment
Army of Darkness: The Death of Ash #13	Comic	2017	James Kuhoric/Fernando Blanco/Ivan Nunes	United States				Dynamite Entertainment
Marvel Zombies vs. The Army of Darkness #1	Comic	2007	John Layman/Fernando Blanco	United States				Dynamite Entertainment
Marvel Zombies vs. The Army of Darkness #2	Comic	2007	John Layman/Fernando Blanco	United States				Dynamite Entertainment
Marvel Zombies vs. The Army of Darkness #3	Comic	2007	John Layman/Fernando Blanco	United States				Dynamite Entertainment
Marvel Zombies vs. The Army of Darkness #4	Comic	2007	John Layman/Fernando Blanco	United States				Dynamite Entertainment
Marvel Zombies vs. The Army of Darkness #5	Comic	2007	John Layman/Fernando Blanco	United States				Dynamite Entertainment
Army of Darkness: From the Ashes #1	Comic	2007	James Kuhoric/Fernando Blanco	United States				Dynamite Entertainment
Army of Darkness: From the Ashes #2	Comic	2007	James Kuhoric/Fernando Blanco	United States				Dynamite Entertainment
Army of Darkness: From the Ashes #3	Comic	2007	James Kuhoric/Fernando Blanco	United States				Dynamite Entertainment
Army of Darkness: From the Ashes #4	Comic	2007	James Kuhoric/Fernando Blanco	United States				Dynamite Entertainment
Army of Darkness: Halloween Special	Comic	2018	Chad Bowers/Benito Cereno/Chris Sims/Anthony Marques/Eoin Marron	United States				Dynamite Entertainment
Army of Darkness: Hellbillies and Deadnecks #14	Comic	2008	James Kuhoric/Mike Raicht/Scott Cohn	United States				Dynamite Entertainment
Army of Darkness: Hellbillies and Deadnecks #15	Comic	2008	James Kuhoric/Mike Raicht/Scott Cohn	United States				Dynamite Entertainment
Army of Darkness: Hellbillies and Deadnecks #16	Comic	2008	James Kuhoric/Mike Raicht/Scott Cohn	United States				Dynamite Entertainment
Army of Darkness: Hellbillies and Deadnecks #17	Comic	2008	James Kuhoric/Mike Raicht/Scott Cohn	United States				Dynamite Entertainment
Army of Darkness: Home Sweet Hell #9	Comic	2009	James Kuhoric/Mike Raicht/Fernando Blanco	United States				Dynamite Entertainment
Army of Darkness: Home Sweet Hell #10	Comic	2009	James Kuhoric/Mike Raicht/Fernando Blanco	United States				Dynamite Entertainment
Army of Darkness: Home Sweet Hell #11	Comic	2009	James Kuhoric/Mike Raicht/Fernando Blanco	United States				Dynamite Entertainment
Army of Darkness: Home Sweet Hell #12	Comic	2009	James Kuhoric/Mike Raicht/Fernando Blanco	United States				Dynamite Entertainment
Army of Darkness: King For a Day #13	Comic	2009	James Kuhoric/Mike Raicht/Pere Perez	United States				Dynamite Entertainment
Army of Darkness: Old School #5	Comic	2006	James Kuhoric/Kevin Sharpe	United States				Dynamite Entertainment
Army of Darkness: Old School #6	Comic	2006	James Kuhoric/Kevin Sharpe	United States				Dynamite Entertainment
Army of Darkness: Old School #7	Comic	2006	James Kuhoric/Kevin Sharpe	United States				Dynamite Entertainment
Army of Darkness: Shop Till You Drop Dead #1	Comic	2004	James Kuhoric/Nick Bradshaw/Sanford Greene	United States				Dynamite Entertainment
Army of Darkness: Shop Till You Drop Dead #2	Comic	2004	James Kuhoric/Nick Bradshaw/Sanford Greene	United States				Dynamite Entertainment
Army of Darkness: Shop Till You Drop Dead #3	Comic	2004	James Kuhoric/Nick Bradshaw/Sanford Greene	United States				Dynamite Entertainment
Army of Darkness: Shop Till You Drop Dead #4	Comic	2004	James Kuhoric/Nick Bradshaw/Sanford Greene	United States				Dynamite Entertainment
Army of Darkness: The Long Road Home #5	Comic	2008	James Kuhoric/Mike Raicht/Fernando Blanco	United States				Dynamite Entertainment
Army of Darkness: The Long Road Home #6	Comic	2008	James Kuhoric/Mike Raicht/Fernando Blanco	United States				Dynamite Entertainment
Army of Darkness: The Long Road Home #7	Comic	2008	James Kuhoric/Mike Raicht/Fernando Blanco	United States				Dynamite Entertainment
Army of Darkness: The Long Road Home #8	Comic	2008	James Kuhoric/Mike Raicht/Fernando Blanco	United States				Dynamite Entertainment
Ash Vs. The Army of Darkness #0	Comic	2018	Chad Bowers/Chris Sims/Mauro Vargas	United States				Dynamite Entertainment
Ash Vs. The Army of Darkness #1	Comic	2018	Chad Bowers/Chris Sims/Mauro Vargas	United States				Dynamite Entertainment
Ash Vs. The Army of Darkness #2	Comic	2018	Chad Bowers/Chris Sims/Mauro Vargas	United States				Dynamite Entertainment
Ash Vs. The Army of Darkness #3	Comic	2018	Chad Bowers/Chris Sims/Mauro Vargas	United States				Dynamite Entertainment
Ash Vs. The Army of Darkness #4	Comic	2018	Chad Bowers/Chris Sims/Mauro Vargas	United States				Dynamite Entertainment
Ash Vs. The Army of Darkness #5	Comic	2018	Chad Bowers/Chris Sims/Mauro Vargas	United States				Dynamite Entertainment
Army of Darkness: Montezuma's Revenge #18	Comic	2009	Mike Raicht/Dave Simons/Ivan Nunes	United States				Dynamite Entertainment
Army of Darkness: Water, Water Everywhere #19	Comic	2009	Mike Raicht/Pablo Marcos/Rael Sidhartha	United States				Dynamite Entertainment
Army of Darkness: Ashley J. Williams Goes to Europe #20	Comic	2009	Mike Raicht/Scott Cohn/Rael Sidhartha	United States				Dynamite Entertainment
Army of Darkness: Ashley J. Williams Goes to Europe #21	Comic	2009	Mike Raicht/Scott Cohn/Rael Sidhartha	United States				Dynamite Entertainment
BloodRayne: Revenge of the Butcheress	Comic	2009	Chad Lambert/David Miller	United States				Digital Webbing LLC
Ash and the League of Light #22	Comic	2009	Mike Raicht/Pablo Marcos/Rael Sidhartha	United States				Dynamite Entertainment
Ash and the League of Light #23	Comic	2009	Mike Raicht/Scott Cohn/Rael Sidhartha	United States				Dynamite Entertainment
Ash and the League of Light #24	Comic	2009	Mike Raicht/Mario Gully/Rael Sidhartha	United States				Dynamite Entertainment
Ash and the League of Light #25	Comic	2009	Mike Raicht/Scott Cohn/Rael Sidhartha	United States				Dynamite Entertainment
Ash and the League of Light #26	Comic	2009	Mike Raicht/Scott Cohn/Rael Sidhartha	United States				Dynamite Entertainment
Ash and the League of Light #27	Comic	2010	Mike Raicht/Scott Cohn/Rael Sidhartha	United States				Dynamite Entertainment
Boundead #1	Comic	2014	Mel Ruby	United States				Wrought Iron Creations
Boundead #2	Comic	2014	Mel Ruby	United States				Wrought Iron Creations
Army of Darkness #1	Comic	2012	Eliott R. Serrano/Dietricht Smith	United States				Dynamite Entertainment
Army of Darkness #2	Comic	2012	Eliott R. Serrano/Dietricht Smith	United States				Dynamite Entertainment
Army of Darkness #3	Comic	2012	Eliott R. Serrano/Dietricht Smith	United States				Dynamite Entertainment
Army of Darkness #4	Comic	2012	Eliott R. Serrano/Dietricht Smith	United States				Dynamite Entertainment
Army of Darkness #5	Comic	2012	Eliott R. Serrano/Dietricht Smith	United States				Dynamite Entertainment
Army of Darkness #6	Comic	2012	Eliott R. Serrano/Dietricht Smith	United States				Dynamite Entertainment
Army of Darkness #7	Comic	2012	Eliott R. Serrano/Dietricht Smith	United States				Dynamite Entertainment
Army of Darkness #8	Comic	2012	Eliott R. Serrano/Dietricht Smith	United States				Dynamite Entertainment
Army of Darkness #9	Comic	2012	Eliott R. Serrano/Dietricht Smith	United States				Dynamite Entertainment
Army of Darkness #10	Comic	2012	Eliott R. Serrano/Dietricht Smith	United States				Dynamite Entertainment
Army of Darkness #11	Comic	2012	Eliott R. Serrano/Dietricht Smith	United States				Dynamite Entertainment
Army of Darkness #12	Comic	2012	Eliott R. Serrano/Dietricht Smith	United States				Dynamite Entertainment
Army of Darkness #13	Comic	2012	Eliott R. Serrano/Dietricht Smith	United States				Dynamite Entertainment
Ash and the Army of Darkness #1	Comic	2014	Shannon Eric Denton/Nacho Tenorio	United States				Dynamite Entertainment
Ash and the Army of Darkness #2	Comic	2014	Shannon Eric Denton/Nacho Tenorio	United States				Dynamite Entertainment
Ash and the Army of Darkness #3	Comic	2014	Shannon Eric Denton/Nacho Tenorio	United States				Dynamite Entertainment
Ash and the Army of Darkness #4	Comic	2014	Shannon Eric Denton/Nacho Tenorio	United States				Dynamite Entertainment
Ash and the Army of Darkness #5	Comic	2014	Shannon Eric Denton/Nacho Tenorio	United States				Dynamite Entertainment
Ash and the Army of Darkness #6	Comic	2014	Shannon Eric Denton/Nacho Tenorio	United States				Dynamite Entertainment
Ash and the Army of Darkness #7	Comic	2014	Shannon Eric Denton/Nacho Tenorio	United States				Dynamite Entertainment
Ash and the Army of Darkness #8	Comic	2014	Shannon Eric Denton/Nacho Tenorio	United States				Dynamite Entertainment
Army of Darkness: Ash Gets Hitched #1	Comic	2014	Steve Niles/Nacho Tenorio	United States				Dynamite Entertainment
Army of Darkness: Ash Gets Hitched #2	Comic	2014	Steve Niles/Nacho Tenorio	United States				Dynamite Entertainment
Army of Darkness: Ash Gets Hitched #3	Comic	2014	Steve Niles/Nacho Tenorio	United States				Dynamite Entertainment
Army of Darkness: Ash Gets Hitched #4	Comic	2014	Steve Niles/Nacho Tenorio	United States				Dynamite Entertainment
Army of Darkness: Ash in Space #1	Comic	2015	Cullen Bunn/Larry Watts	United States				Dynamite Entertainment
Army of Darkness: Ash in Space #2	Comic	2015	Cullen Bunn/Larry Watts	United States				Dynamite Entertainment
Army of Darkness: Ash in Space #3	Comic	2015	Cullen Bunn/Larry Watts	United States				Dynamite Entertainment
Army of Darkness: Ash in Space #4	Comic	2015	Cullen Bunn/Larry Watts	United States				Dynamite Entertainment
Army of Darkness: Ash in Space #5	Comic	2015	Cullen Bunn/Larry Watts	United States				Dynamite Entertainment
Army of Darkness: Furious Road #1	Comic	2016	Nancy A. Collins/Kewber Baal	United States				Dynamite Entertainment
Army of Darkness: Furious Road #2	Comic	2016	Nancy A. Collins/Kewber Baal	United States				Dynamite Entertainment
Army of Darkness: Furious Road #3	Comic	2016	Nancy A. Collins/Kewber Baal	United States				Dynamite Entertainment
Army of Darkness: Furious Road #4	Comic	2016	Nancy A. Collins/Kewber Baal	United States				Dynamite Entertainment
Army of Darkness: Furious Road #5	Comic	2016	Nancy A. Collins/Kewber Baal	United States				Dynamite Entertainment
Army of Darkness: Furious Road #6	Comic	2016	Nancy A. Collins/Kewber Baal	United States				Dynamite Entertainment
Birth of the Living Dead/Year of the Living Dead	Documentary	2013	Rob Kuhns	United States		9802	76	 Glass Eye Pix/Predestinate Productions
The Dead Don't Die	Film	2019	Jim Jarmusch	United States		13963605	105	 Animal Kingdom/Film i Väst
World War Z 2	Film	2019	David Fincher	United States				
Zombieland: Double Tap	Film	2019	Ruben Fleischer	United States	4.2e+07	299950	99	 Columbia Pictures/Pariah
Daybreak Z	Film		Chris Brewster	United States				
Day of the Dead: Bloodline	Film	2018	Hector Hernandez Vicens	United States	8e+06	259361	90	Winter State Entertainment
Feral	Film	2018	Mark Young	United States		3964	90	Alternate Ending Films
The Last Ones	Film	2018	Andrew Jara	United States			78	
Zombies	Film	2018	Paul Hoen	United States			94	
Attack of the Southern Fried Zombies	Film	2018	Mark Newton	United States			82	
Maze Runner: The Death Cure	Film	2018	Wes Ball	United States	6.1e+07	265878841	143	
Overlord	Film	2018	Julius Avery	United States	3.8e+07	41657844	108	
Anna and the Apocalypse	Film	2018	John McPhail	United States		756473	92	Blazing Griffin/Parkhouse Pictures/Constellation Creatives/Creative Scotland
An Accidental Zombie (Named Ted)	Film	2017	Ane Welles	United States	1e+06		83	
Bong of the Living Dead	Film	2017	Max Groah	United States			83	
Locked Away	Film	2017	Jason Morisette	United States	22000		98	
Sickness	Film	2017	Brandon E. Brooks	United States				
Zombie Pizza	Film	2017	Mike Dudko	United States			94	
Mayhem	Film	2017	Joe Lynch	United States	2500000		86	
Monster High: Electrified	Film	2017	Avgousta Zourelidi/Jun Falkenstein/René Veilleux	United States			71	
Zombie TV	Film	2017	Micheal Cuomo	United States			75	
Cell	Film	2016	Todd Williams	United States		925822	98	
Daylight's End	Film	2016	William Kauffman	United States	2e+06		108	
Dead 7	Film	2016	Nick Carter	United States				
Dead Rising: Endgame	Film	2016	Pat Williams	United States			96	
Here Alone	Film	2016	Rod Blackhurst	United States			98	
