Title	Type	Year	Author	Country	Budget	Box	Duration	Producer
Paris by Night of the Living Dead	Film	2009	Gregory Morin	France				
The Horde/La Horde	Film	2009	Yannick Dahan/Benjamin Rocher	France	2e+06	688225	101	
They Came Back	Film	2004	Robin Campillo	France				
La Morte Vivante/The Living Dead Girl	Film	1982	Jean Rollin	France				
Zombie Lake	Film	1981	Jean Rollin/Jesus Franco	France				
Les Raisins de la Mort/The Grapes of Death, Pesticide	Film	1978	Jean Rollin	France				
Curse of the Living Dead/Les Demoniaques	Film	1973	Jean Rollin	France				
I Walked with a Zombie	Film	1943	Jacques Tourneur	France				
La nuit a devoré le monde	Novel	2012	Pit Agarmen/Martin Page	France				
Les morts ont marché	Novel	2011	Mathieu Fortin	France				
Le protocole Reston	Novel	2009	Mathieu Fortin	France				
Les Revenants/The Returned #1	Series	2012	Fabrice Gobert/Frédéric Mermoud	France			52	Canal Plus
Les Revenants/The Returned #2	Series	2015	Fabrice Gobert/Frédéric Mermoud	France			52	Canal Plus
Sky Sharks	Film	2017	Marc Fehse	Germany	2500000		110	
What We Do in the Shadows	Film	2015	Taika Waititi/Jemaine Clement	Germany	1600000	6900000	87	Resnick Interactive Development
Virus Undead	Film	2008	Wolf Wolff/Ohmuti	Germany				
Zombie Warrior	Film	2007	Daniel Flugger	Germany				
Die Nacht der lebenden Loser/Night of the Living Dorks	Film	2004	Mathias Dinter	Germany				
Zombie Nation	Film	2004	Ulli Lommel	Germany				
House of the Dead	Film	2003	Uwe Boll	Germany	7e+06	13767816	93	
Night of the Not So Living Dead Guy (a.k.a. Night of the not so living Dead Guy!)	Film	2002	Michael Kessler	Germany				
Violent Shit III: Infantry of Doom (Zombie Doom)	Film	1999	Andreas Schnaas	Germany				
Premutos: The Fallen Angel	Film	1997	Olaf Ittenbach	Germany				
Evil: In the Time of Heroes	Film	2009	Yorgos Noussias	Greece				
Johnny Z	Film	2019	Jonathan Straiton	United States	1200000			 Black Mandala/Hurricane Bridge Entertainment
Evil	Film	2005	Yorgos Noussias	Greece				
Ebola Zombies	Film	2015	Samuel Leong	Hong Kong				
Geung si/Rigor Mortis	Film	2014	Juno Mak	Hong Kong	1911450	2138454	103	
Shaolin vs. Evil Dead/Shao lin jiang shi, Siu lam geung see	Film	2004	Douglas Kung	Hong Kong				
The Heroic Trio	Film	1993	Johnie To	Hong Kong			104	
Revenge of the Zombies	Film	1943	Steve Sekely	Hungary				
Miruthan	Film	2016	Shakti Soundar Rajan	India	2487282.62	6218206.55	108	
Go Goa Gone	Film	2013	Raj Nidimoru/Krishna D.K.	India				
Dead Shack	Film	2017	Peter Ricq	Canada	12219		85	Goodbye Productions/Trilight Entertainment
Zombie neuroscience: Shane O'Mara at TEDxDublin	Academic	2013	Shane O'Mara	Ireland				
Zombi Kampung Pisang/Zombies from Banana Village	Film	2007	Mamat Khalid	Malaysia	287047.08	730223	118	 Tayangan Unggul
Kl24: Zombies	Film	2017	Shamaine Othman/James Lee/Gavin Yap	Malaysia			77	 Doghouse 73 Pictures
The Cured	Film	2017	David Freyne	Ireland		98157	95	Bac Films
The Last Days on Mars	Film	2013	Ruairi Robinson	Ireland	10600000	261364		
Portrait of a Zombie	Film	2012	Bing Bailey	Ireland	50000		89	Organ Hill Films
Stake Land	Film	2011	Jim Mickle	Ireland				
Boy Eats Girl	Film	2005	Stephen Bradley	Ireland				
Dead Meat	Film	2004	Conor McMahon	Ireland				
Zom-B: Gladiator	Novel	2014	Darren Shan	Ireland				
Zom-B: Mission	Novel	2014	Darren Shan	Ireland				
Zom-B: Angels	Novel	2013	Darren Shan	Ireland				
Zom-B: Baby	Novel	2013	Darren Shan	Ireland				
Zom-B: City	Novel	2013	Darren Shan	Ireland				
Zom-B: Underground	Novel	2013	Darren Shan	Ireland				
Zom-B	Novel	2012	Darren Shan	Ireland				
JeruZalem	Film	2015	Doron Paz/Yoav Paz	Israel				
Another World	Film	2014	Eitan Ruven	Israel				
Ritual (Tales from the Crypt: Ritual)	Film	2002	Avi Nesher	Israel				
Ritual	Film	2001	Avi Nesher	Israel			106	
Zombie Massacre	Film	2013	Luca Boni/Marco Ristori	Italy			90	
Cemetery Man (Dellamorte Dellamore)	Film	1994	Michele Soavi	Italy				
Black Demons	Film	1991	Umberto Lenzi	Italy				
Zombie 5: Killing Birds (Uccelli assassini)	Film	1991	Claudio Lattanzi	Italy				
Zombi 3 (Zombie Flesh Eaters 2)	Film	1988	Lucio Fulci/Bruno Mattei	Italy				
Zombie 4: After Death (Oltre la morte, Zombie Flesh Eaters 3)	Film	1988	Claudio Fragasso	Italy				
The Supernaturals	Film	1986	Armand Mastroianni	Italy				
Zombie Brigade	Film	1986	Carmelo Musca/Barrie Pattison	Italy				
Zeder (Revenge of the Dead)	Film	1983	Pupi Avati	Italy				
Burial Ground: The Nights of Terror	Film	1981	Andrea Bianchi	Italy				
Hell of the Living Dead/Night of the Zombies	Film	1981	Bruno Mattei	Italy				
The Beyond	Film	1981	Lucio Fulci	Italy				
The House by the Cemetery	Film	1981	Lucio Fulci	Italy				
City of the Living Dead	Film	1980	Lucio Fulci	Italy				
Erotic Nights of the Living Dead/Sexy Nights of the Living Dead	Film	1980	Joe D'Amato	Italy				
Nightmare City/City of the Walking Dead	Film	1980	Umberto Lenzi	Italy				
Zombie Holocaust/Zombi Holocaust	Film	1980	Marino Girolami	Italy				
Zombi 2/Zombie, Zombie Flesh Eaters	Film	1979	Lucio Fulci	Italy				
Baron Blood/Gli orrori del castello di Norimberga	Film	1972	Mario Bava	Italy				
